PARENT_ID,SD_NAME
2002115113,-
32231547,-
47802491,-
245505063,-
31899561,-
32362609,-
32271423,-
47802531,-
32422851,-
31922947,-
32434939,-
246861381,-
146427523,-
32453135,-
32443435,-
2005317911,-
246124201,-
32132973,-
219057157,-
2002545869,-
31856529,-
34680893,-
32164177,-
32392027,-
31950227,-
31782449,-
32125979,-
245579047,-
245432045,-
32287111,-
32524965,-
2005338953,-
32012159,-
245431131,-
2005885087,-
32022405,-
32394639,-
32372651,-
32556513,-
32340671,-
165754347,-
48425181,-
32013555,-
31746919,-
31632947,-
165753203,-
31584199,-
246371519,-
2002886587,-
239771891,-
32409651,-
32326701,-
32057967,-
245999459,-
32046657,-
30102069,-
259307913,-
32521347,-
2002291931,-
146431081,-
245430743,-
32299971,-
146432419,-
32062717,-
47808403,-
47806741,-
47799993,-
31877959,-
32522611,-
31978057,-
31865505,-
31911619,-
31820761,-
32305657,-
31793397,-
32299253,-
32378119,-
258631437,-
31584745,-
258629179,-
146429379,-
31655055,-
32462745,-
32546841,-
48909681,-
47801709,-
245431993,-
2005677519,-
32417203,-
32325579,-
167263745,-
157436985,-
32169679,-
146429269,-
47801969,-
31965787,-
259308253,-
257923545,-
58396479,-
168234465,-
259254131,-
219558699,-
32407207,-
245432281,-
47803121,-
165754019,-
246545885,-
165754267,-
31632291,-
48776779,-
32495505,-
32342555,-
155002031,-
32589943,-
31677951,-
32139133,-
32603955,-
32355205,-
146420657,-
32176451,-
32543841,-
34649741,-
32057595,-
32333645,-
245536283,-
2005573989,-
31809611,-
32092085,-
31721003,-
31970675,SDNAME_A
31585059,SDNAME_B
2006977263,SDNAME_C
32512073,SDNAME_B
32287111,SDNAME_B
31590939,SDNAME_A
31594885,SDNAME_B
155004517,SDNAME_B
31913359,SDNAME_A
32325579,SDNAME_A
2002115113,SDNAME_B
32219781,SDNAME_A
146427523,SDNAME_A
105774235,SDNAME_C
31963275,SDNAME_C
31798347,SDNAME_B
51272829,SDNAME_A
32340671,SDNAME_B
32417203,SDNAME_C
169156871,SDNAME_A
32012159,SDNAME_C
32162237,SDNAME_A
31658223,SDNAME_A
146432377,SDNAME_C
2005955295,SDNAME_B
32060101,SDNAME_B
32336719,SDNAME_A
32587765,SDNAME_A
31807623,SDNAME_B
32445369,SDNAME_C
245536283,SDNAME_A
257689405,SDNAME_C
47806741,SDNAME_A
146429379,SDNAME_B
31689113,SDNAME_C
258893065,SDNAME_B
2006533817,SDNAME_C
31698431,SDNAME_C
106056145,SDNAME_B
31674733,SDNAME_B
32147587,SDNAME_A
32541311,SDNAME_C
47801771,SDNAME_B
32265545,SDNAME_A
47802531,SDNAME_B
32057967,SDNAME_B
31969295,SDNAME_C
31783085,SDNAME_B
2002115113,SDNAME_C
31658223,SDNAME_B
31721335,SDNAME_A
165754267,SDNAME_B
32174065,SDNAME_B
32539485,SDNAME_B
245431667,SDNAME_C
245432251,SDNAME_C
31981525,SDNAME_A
32546841,SDNAME_C
56350663,SDNAME_A
245432239,SDNAME_A
146429219,SDNAME_B
47857995,SDNAME_C
32463973,SDNAME_B
31677731,SDNAME_C
246362661,SDNAME_B
30150813,SDNAME_A
32176451,SDNAME_A
246545293,SDNAME_B
173518681,SDNAME_C
32607385,SDNAME_B
31798287,SDNAME_B
258629967,SDNAME_A
2002545869,SDNAME_B
173009797,SDNAME_B
31844783,SDNAME_A
32517997,SDNAME_A
32132973,SDNAME_C
32656893,SDNAME_A
47803847,SDNAME_B
32426729,-
31857525,-
47802239,-
31812961,-
31883137,-
31704265,-
32000505,-
